time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443399637	8.46292	0.243462	0	0	0	radar	3.77646e-317	8.46292	0.243462	8.6	0.25	6.371e-314	0
1477010443449633	8.4485	0.251375	-0.000719633	1.97054e-17	1.38778e-17	lidar	0.00027595	8.44818	0.251553	8.45	0.25	6.371e-314	0
1477010443499690	8.47145	0.248799	-0.00552722	3.13749e-06	3.23841e-07	radar	0.125984	8.56759	0.241943	8.45	0.25	6.371e-314	0
1477010443549747	8.46434	0.250982	-0.00839066	-2.06289e-05	-2.94022e-06	lidar	0.00655075	8.45582	0.253997	8.45	0.25	6.371e-314	0
1477010443604698	8.37672	0.251326	-0.90898	0.00137678	0.000342459	radar	19.5945	8.42544	0.254042	8.35	0.25	6.371e-314	0
1477010443659650	8.31232	0.25063	-0.930028	0.00315792	0.000764079	lidar	0.346657	8.23962	0.24916	8.25	0.25	6.371e-314	0
1477010443709653	8.10892	0.234545	-1.35	0.180272	0.054389	radar	29.1911	7.93286	0.188391	8.05	0.2	6.371e-314	0
1477010443759657	8.01119	0.203653	-1.39679	0.290885	0.083216	lidar	1.88341	7.84073	0.159858	7.85	0.15	6.371e-314	0
1477010443809660	7.8234	0.340839	-1.70843	-1.22203	-0.53195	radar	17.6382	7.61269	0.155818	7.7	0.15	6.371e-314	0
1477010443859663	7.71455	0.280314	-1.77032	-0.541292	-0.269528	lidar	3.31214	7.54016	0.159641	7.55	0.15	6.371e-314	0
1477010443914714	7.57751	0.200853	-1.82927	0.0805496	0.0713116	radar	1.3474	7.50815	0.0953827	7.45	0.100001	6.371e-314	0
1477010443969766	7.45333	0.138395	-1.82212	0.225314	0.0932287	lidar	1.42442	7.3426	0.0345312	7.35	0.0500011	6.371e-314	0
1477010444024741	7.30532	0.191946	-2.13177	-0.0820328	-0.379501	radar	8.74449	7.20598	0.00492725	7.2	9.49949e-07	6.371e-314	0
1477010444079717	7.16448	0.10408	-2.15085	0.104053	-0.214569	lidar	2.47296	7.05406	-0.0533413	7.05	-0.0499992	6.371e-314	0
1477010444134693	7.05424	0.0227634	-2.08258	0.245383	-0.0134328	radar	3.08075	6.74585	-0.143185	6.95	-0.15	6.371e-314	0
1477010444189670	6.93234	-0.109255	-2.11097	0.451132	0.273185	lidar	2.0521	6.84972	-0.258748	6.85	-0.25	6.371e-314	0
1477010444239651	6.82112	-0.164249	-2.16132	0.429253	0.0995879	radar	1.62592	6.66966	-0.346668	6.75	-0.349999	6.371e-314	0
1477010444289632	6.71501	-0.292269	-2.2151	0.571079	0.284784	lidar	2.18418	6.64329	-0.462604	6.65	-0.449999	6.371e-314	0
1477010444339690	6.67084	-0.474486	-2.20739	0.946131	1.1214	radar	4.37848	6.60862	-0.557035	6.6	-0.549999	6.371e-314	0
